q,LLE
8.499999999999999778e-01,2.767201919490450024e+00
8.565217391304347228e-01,2.542686590190213369e+00
8.630434782608695787e-01,2.608717525280912497e+00
8.695652173913043237e-01,2.606510573368590489e+00
8.760869565217390686e-01,2.416494751799786123e+00
8.826086956521739246e-01,2.435821967898596618e+00
8.891304347826086696e-01,2.367530418886315324e+00
8.956521739130434145e-01,2.336178170892510231e+00
9.021739130434782705e-01,2.397699607735276128e+00
9.086956521739130155e-01,2.234869538760343666e+00
9.152173913043477604e-01,2.529773819263885670e+00
9.217391304347826164e-01,2.690245833388536401e+00
9.282608695652173614e-01,2.448700504955606316e+00
9.347826086956522174e-01,2.527722201532975888e+00
9.413043478260869623e-01,2.628360145971139428e+00
9.478260869565217073e-01,2.667843595793040201e+00
9.543478260869565633e-01,2.645649090990738639e+00
9.608695652173913082e-01,2.405493905145643652e+00
9.673913043478260532e-01,2.432297986561522407e+00
9.739130434782609091e-01,1.678242438345625809e+00
9.804347826086956541e-01,2.030971163516280598e+00
9.869565217391305101e-01,2.121750238039149750e+00
9.934782608695652550e-01,2.105358716293809440e+00
1.000000000000000000e+00,2.117151804487360067e+00
